target_type,loss_function,weight_ex,batch_size,n_pairs,learning_rate,config,r2_avg,mae_avg,rmse_avg,softdtw_avg,fastdtw_avg,sid_avg,sis_avg,CV_r2_avg,CV_mae_avg,CV_rmse_avg,CV_softdtw_avg,CV_fastdtw_avg,CV_sid_avg,CV_sis_avg,val_loss_avg
default,SoftDTW,0.1,128,5,0.001,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-10717.650304870605,0.3256981945037842,0.4117526239156723,-671.6419995117187,146.29456,0.02842215184122324,0.9724037833163401,-945.4763793945312,0.32494327425956726,0.409016489982605,1259.6282145182292,2518.9758,0.6249825159708658,0.6154963495837141,-634.6991088867187
default,SoftDTW,0.1,128,5,0.01,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-10666.085184020996,0.31775956869125366,0.41081694602966307,-672.7483764648438,143.86362,0.02846343766897917,0.972363010655174,-674.6933390299479,0.27646292249361676,0.34750673174858093,909.7023111979166,2114.1838,0.6241483887036642,0.6158109416683192,-650.148524983724
default,SoftDTW,0.3,128,5,0.001,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-9197.525644226074,0.30799086034297946,0.3813933378458023,-686.2807629394531,138.22282,0.027630008533596994,0.9731526856019014,-895.5591634114584,0.3127052883307139,0.39922016859054565,1200.2335611979167,2402.2922,0.6252537171045939,0.6153915685075425,-637.6375427246094
default,SoftDTW,0.3,128,5,0.01,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-11215.519986877442,0.3347724312543869,0.4212635523080826,-666.0703137207031,151.72145,0.02932088289409876,0.9715584505179116,-691.885487874349,0.27448447545369464,0.35039084156354267,923.0620930989584,2075.6091,0.6242551406224569,0.6157706133103272,-651.4358154296875
default,SoftDTW,0.5,128,5,0.001,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-9350.237870788575,0.30579800009727476,0.3845620769262314,-685.1415686035157,137.56142,0.028821562975645067,0.9720303297493439,-855.5011393229166,0.30352820952733356,0.3923097352186839,1159.8274739583333,2325.1553,0.6250457564989725,0.6154687320138356,-644.693544514974
default,SoftDTW,0.5,128,5,0.01,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-9757.15088531494,0.30730885863304136,0.3930082505941391,-681.1943469238281,137.81712,0.02830719970166683,0.9725194699340013,-657.8616333007812,0.27179576953252155,0.34361688296000165,888.4659423828125,2062.3384,0.6246585249900818,0.6156245051688948,-654.7214131673177
default,SoftDTW,0.7,128,5,0.001,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-11033.365586242675,0.34253591537475586,0.41758990347385405,-666.51767578125,154.92188,0.028077068626880645,0.972739172495302,-911.2927042643229,0.3181249300638835,0.40205222368240356,1216.8601481119792,2428.8801,0.6244920492172241,0.6156787066064626,-639.0137105305989
default,SoftDTW,0.7,128,5,0.01,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-10936.722882080077,0.32729706227779387,0.416011153459549,-669.0232763671875,146.98186,0.02923482421785593,0.971644602484331,-708.402109781901,0.2786857783794403,0.3533925811449687,939.5991821289062,2115.886,0.6241660714149475,0.6158043644793642,-652.4968037923177
default,SoftDTW,0.9,128,5,0.001,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-9310.999217224122,0.30161395490169524,0.38375926673412325,-686.47697265625,138.269,0.02811729669570923,0.9726877741935163,-878.2197672526041,0.3111613194147746,0.39721710483233136,1188.1990559895833,2365.9817,0.6251134872436523,0.6154487715463651,-643.397226969401
default,SoftDTW,0.9,128,5,0.01,"{'num_atoms': 35, 'num_in_degree': 10, 'num_out_degree': 10, 'num_edges': 38, 'num_spatial': 20, 'num_edge_dis': 10, 'edge_type': 'multi_hop', 'multi_hop_max_dist': 5, 'num_encoder_layers': 6, 'embedding_dim': 64, 'ffn_embedding_dim': 256, 'num_attention_heads': 8, 'dropout': 0.1, 'attention_dropout': 0.1, 'activation_dropout': 0.1, 'activation_fn': 'gelu', 'pre_layernorm': False, 'q_noise': 0.0, 'qn_block_size': 8, 'output_size': 100}",-9636.927297058106,0.3058206683397293,0.39043080747127534,-682.0502392578124,137.98901,0.028605890311300754,0.972233158893229,-719.0197143554688,0.2814210156599681,0.35769566893577576,962.4650675455729,2115.9294,0.6254461805025736,0.6153200431980658,-648.628603108724
