"Column0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100","CAS","smiles_new","InChI_new","SMILES"
"100-40-3","18.42584161","30.20327385","40.80882664","51.13516731","60.31753025","68.53887259","75.86617278","82.25157102","87.78577094","92.5944487","96.67893906","99.90300055","102.5463995","105.0077077","106.9793995","108.2632191","109.0654889","109.4692588","109.4319209","109.1185609","108.3849678","107.3721513","105.9916378","104.3746974","102.4694351","100.3231034","97.92967306","95.3206389","92.57488365","89.61191721","86.52300036","83.26801403","79.96019775","76.49499754","72.97572607","69.42053823","65.77083259","62.12845665","58.50195361","54.90165719","51.33375846","47.81156381","44.34819858","40.94649633","37.65699766","34.48012248","31.41118544","28.48779806","25.70385094","23.07983947","20.61165004","18.29344608","16.15138596","14.1831976","12.36569604","10.76571891","9.36284619","8.139698408","7.09213643","6.200258383","5.492162846","4.986689444","4.676666717","4.497268159","4.467462466","4.646829904","4.946453332","5.395828348","5.905596301","6.473542672","7.087458856","7.683381343","8.364737196","9.044820286","9.662172342","10.31731506","10.95809779","11.51883434","12.07300585","12.62466649","13.13521981","13.61741194","14.06929029","14.51020787","14.92731701","15.30069582","15.67112965","16.0257336","16.3853092","16.68811819","16.96454889","17.24254687","17.52053119","17.79773639","18.04682534","18.26301957","18.4697703","18.66697838","18.8783762","19.06648265","100-40-3","C=CC1CCC=CC1","InChI=1/C8H12/c1-2-8-6-4-3-5-7-8/h2-4,8H,1,5-7H2
","C=CC1CC=CCC1"
"100-42-5","41.62162791","39.29984812","37.56507469","35.97440547","34.38573994","32.92673681","31.50685189","30.14175691","28.86400117","27.59972768","26.50376382","25.43412262","24.42343473","23.44376585","22.53838331","21.65843692","20.86904013","20.12417648","19.42428695","18.73069127","18.16139977","17.5015452","16.9664539","16.46105398","15.93624205","15.47567387","15.04819799","14.6343999","14.24006015","13.87097794","13.49660541","13.16842246","12.88898369","12.54674711","12.29728611","11.9807543","11.80100218","11.48967536","11.28127712","11.06836454","10.87415864","10.67734884","10.46364155","10.31431545","10.14048115","9.952266298","9.796993988","9.668760994","9.52398069","9.386021571","9.265643518","9.150301674","9.056144918","8.941280672","8.81245263","8.695566396","8.601897216","8.511800882","8.396570094","8.30630094","8.242599535","8.188166034","8.114482488","8.033319357","7.961061032","7.895121462","7.833964121","7.776549389","7.707633537","7.640285619","7.569701259","7.51609402","7.463257258","7.420472349","7.370997916","7.31700991","7.272506359","7.231949598","7.193246384","7.16155089","7.13120617","7.097533217","7.065267749","7.022434148","6.978383885","6.935027844","6.899284463","6.863741675","6.834873698","6.804686695","6.777199949","6.749205857","6.721523783","6.695344703","6.661007864","6.629401721","6.603664874","6.580431352","6.55915053","6.536415275","100-42-5","C=CC1=CC=CC=C1","InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2
","C=Cc1ccccc1"
"100-46-9","138.0892861","117.2732767","109.8946174","102.6313092","95.33507976","88.69774395","85.56567788","87.58943837","90.56106515","93.7739705","97.32988421","100.4375063","99.60604358","98.5972237","97.62581541","96.76078046","96.18586315","95.75921151","95.45831811","95.34382483","95.32176061","95.51420753","95.82937071","96.24002778","96.75680932","97.38081613","98.11611308","96.45358026","94.31930204","92.12718745","89.93075704","87.70396004","85.48440483","83.30006012","81.15406651","79.12683069","77.21742782","75.46256243","73.88384151","72.5408654","71.52404183","70.9417853","70.99576277","72.22522746","74.00140836","76.15225489","78.29194425","78.61968002","80.06842281","81.55583645","83.05821072","102.0350694","100.3038212","98.72120706","96.95077574","95.39682007","94.01857232","92.52400583","91.16628384","89.94141428","88.68826765","87.5801685","86.47559738","85.48687244","84.50324926","83.61625844","82.74402872","81.96974136","81.25368436","80.50548555","79.82350634","79.20584986","78.61410937","78.05417856","77.49206058","76.954683","76.47493003","76.0141242","75.55841011","75.12555231","74.71324841","74.33234004","73.94798036","73.59902397","73.25532653","72.92145772","72.58352458","72.26678823","71.95819007","71.67577505","71.38435074","71.11255945","70.84609616","70.58922465","70.34081441","70.08738448","69.85539862","69.62890962","69.39812481","69.18173027","100-46-9","NCC1=CC=CC=C1","InChI=1S/C7H9N/c8-6-7-4-2-1-3-5-7/h1-5H,6,8H2
","c1ccc(cc1)CN"
"100-47-0","4.399892925","2.488708337","1.753389877","1.251277907","1.165806798","1.017147567","0.854767987","0.754938109","0.757388272","0.701134298","0.608686354","0.644418602","0.56087235","0.527317995","0.511557645","0.485328459","0.479199339","0.492203899","0.432773352","0.464988864","0.432391622","0.46294369","0.386199294","0.449989775","0.422315704","0.399753164","0.405202359","0.398001998","0.409113785","0.381755936","0.389302798","0.408645985","0.365290342","0.384088906","0.373183205","0.375127746","0.382956162","0.337416851","0.360622874","0.408452853","0.382870078","0.343992907","0.360598404","0.387120824","0.359212075","0.340023296","0.349260336","0.398388986","0.418371044","0.401151916","0.36154849","0.343072553","0.364948267","0.390634929","0.3945569","0.381333421","0.365618418","0.357338263","0.364401137","0.38270723","0.400737048","0.410035092","0.391821178","0.368070039","0.356395588","0.358976833","0.36114021","0.367794937","0.386948826","0.399656472","0.413549463","0.413635656","0.395144717","0.373936429","0.359244777","0.355417634","0.34986294","0.344463037","0.347826859","0.357263823","0.372414625","0.388820397","0.402793264","0.412696465","0.419831938","0.424010228","0.421614863","0.414429085","0.406062292","0.393841848","0.383344251","0.378082631","0.37447824","0.36878547","0.362604158","0.357628725","0.355316201","0.356933764","0.360455385","0.365967657","100-47-0","N#CC1=CC=CC=C1","InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H
","c1ccc(cc1)C#N"
"100-48-1","101.9678987","86.7432121","73.30504303","67.13044785","76.72174235","60.18463039","74.75343199","73.10505383","56.61403134","55.64830501","54.58517016","53.51508684","42.17167718","39.88207627","38.24328307","36.58836206","35.52408667","34.58208663","34.70362786","34.0577416","33.89635881","33.85346641","33.88652341","33.59008312","33.66668865","33.69166845","33.53199371","33.54266691","33.50694515","33.6053121","33.55964714","33.66463025","33.63787597","33.71505693","32.7185125","32.57349122","32.47995264","34.52476964","34.36561674","34.15588839","33.97565851","33.81782836","33.6736525","29.84103621","29.36338508","28.94102854","28.50680422","28.05971961","27.66282419","27.31575977","26.96352524","26.68182002","26.40838395","26.06605366","25.80065442","25.53155369","25.32004353","25.20371622","25.13943384","25.08642472","28.38871554","28.24205631","28.18056432","28.25856663","28.34920202","28.31853898","28.25176353","28.23032777","28.23901046","28.30624812","28.30522144","28.26705276","28.23549588","28.25538116","28.28658481","28.35344247","28.36274342","28.34583664","28.31350928","28.34935079","28.36048483","23.41275746","23.3638645","23.32099973","23.28683547","23.23687748","23.20061102","23.1715422","23.12304199","23.10839341","23.07048621","23.03686515","23.010018","22.98493644","22.94125413","22.94028859","22.89808969","22.87737413","22.8542188","22.83407364","100-48-1","N#CC1=CC=NC=C1","InChI=1S/C6H4N2/c7-5-6-1-3-8-4-2-6/h1-4H
","c1cnccc1C#N"
"100-52-7","60.34620495","50.62733915","45.07664435","41.02597067","35.92824841","33.07664319","31.25595022","33.02945141","33.78107226","32.24150856","30.42950585","29.70103107","28.7701137","28.37567721","27.92782598","32.625988","31.90902009","31.2211577","30.56055331","30.04778603","29.51590223","29.14542537","28.74438996","28.67907284","28.72722443","28.9869296","25.49848208","24.41585696","23.47550618","22.4473344","21.61691248","20.62977641","19.85418809","18.93794774","18.14718771","17.38001429","16.5718647","15.91343818","15.1471972","14.55892667","13.88916587","13.27517422","12.76784365","12.20180765","11.23218527","10.71493483","10.22381215","9.791213701","9.37993259","9.008426116","8.647069968","8.328161872","8.027535031","7.769326195","7.520788501","7.273473151","7.066489978","6.881740138","6.708270758","6.62172679","6.504896282","6.405381127","6.368405972","6.290754492","6.337106475","6.249115106","6.282376668","6.223186279","6.225222445","6.205234108","6.201196115","6.182126075","6.17228156","6.156645377","6.14394491","6.135256","6.126593929","6.117856731","6.115295719","6.11027244","6.110376715","6.108939538","6.103162601","6.1087891","6.108957044","6.106745088","6.108750761","6.112776481","6.110493438","6.112529051","6.117937792","6.118940842","6.122883015","6.127830454","6.13238333","6.135475431","6.136316895","6.13888468","6.150805274","6.155385322","100-52-7","O=CC1=CC=CC=C1","InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H
","c1ccc(cc1)C=O"
"100-54-9","72.18347069","73.79829279","75.16657718","76.8071446","78.26041701","79.43613732","80.26975937","80.9497021","81.60676117","81.16024688","81.02731726","80.57261259","79.98302549","79.1813958","78.26467454","74.3599532","72.68815201","70.97643507","69.16760457","67.27423768","65.33898064","63.3815346","61.40246847","59.43428022","57.40054844","55.41144328","53.39263424","51.3964823","48.17377355","44.86399125","41.67260796","38.6123503","35.73270889","32.96334501","30.3399377","27.86288681","25.52571606","23.32144036","21.25676311","19.33815022","17.57249832","15.95861915","14.48624479","13.2028487","12.07818949","11.17236366","10.5029913","10.27687487","10.43605461","10.5941518","10.80964615","11.13571842","11.38891346","11.87668202","12.25304053","12.73431276","13.28042828","13.86096115","14.49112051","14.95940337","15.19194888","15.45382051","14.48776395","10.7680361","10.85331764","10.47295345","10.40014053","10.6797799","10.52581954","10.60936197","10.76633593","10.86798169","10.87023643","10.88529382","10.93267445","10.9996237","11.08030928","11.1619557","11.29315499","11.38893008","11.49322054","11.59814159","11.71506099","11.8256159","11.94124826","12.05896936","12.22640203","12.35360561","12.48212278","12.61236806","12.74142795","12.87564602","13.00291651","13.16796875","13.3025471","13.43173377","13.56156427","13.68621716","13.81207765","13.92899115","100-54-9","N#CC1=CC=CN=C1","InChI=1S/C6H4N2/c7-4-6-2-1-3-8-5-6/h1-3,5H
","c1cc(C#N)cnc1"
"100-61-8","178.3587928","180.4432027","187.5410157","186.0142018","189.3374779","192.0948114","194.2309583","184.0833759","184.2933899","183.989871","183.3906708","182.4315542","181.0359842","179.3276862","177.3644034","175.1455046","172.6742039","170.0406203","167.1284833","164.1169003","160.9342103","157.6312259","154.221818","150.737113","147.1552125","143.5441016","139.8485231","136.1284265","132.3787621","128.6054183","124.8533467","130.6360882","124.2000758","117.9763876","111.8969364","106.0300108","100.3094264","94.77941587","89.4151448","84.22430396","79.1930713","74.33901664","69.64354024","65.13082525","60.79945893","56.63834432","52.66595746","48.8711599","45.28954714","41.91266017","38.75045059","35.82788016","33.14100552","30.72076039","28.60028109","26.82308019","25.47017608","24.86849879","25.11073645","25.70117874","26.5272753","27.49950697","28.62455075","29.93154767","31.59779161","33.18393256","34.90367203","36.46054801","33.25153457","31.99361276","31.50848165","31.89417058","32.56487849","32.42936576","32.11568643","32.17157825","32.30012471","32.37327062","32.46463994","32.59836615","32.75781467","32.94055968","33.14293786","33.36507384","33.60396155","33.845197","34.11028846","34.38820294","34.66725806","34.95980473","35.26127857","35.56786956","35.8804891","36.20524961","36.53468203","36.86662218","37.2020045","37.54366391","37.88532948","38.23239981","100-61-8","CNC1=CC=CC=C1","InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-6,8H,1H3
","CNc1ccccc1"
"100-63-0","33.61693533","27.90792282","26.1403296","24.64566494","23.72379009","22.96340288","22.16533422","21.47208512","20.81168402","20.15876182","19.5382956","18.92464333","18.367191","17.78516317","17.26066244","16.74876323","16.26282439","15.78651171","15.26410727","14.84439503","14.46148217","13.98400546","13.58150161","13.20619681","12.81445862","12.46322556","12.08849783","11.7727786","11.42040683","11.10346924","10.82476505","10.48978698","10.20425821","9.924224348","9.640577958","9.413398703","9.118221903","8.92392664","8.647694554","8.446437913","8.20558184","7.984301322","7.816732575","7.593744373","7.386753023","7.224421727","7.022794496","6.827200402","6.682977072","6.520358228","6.374584895","6.231279626","6.030697187","5.909439695","5.823799296","5.658071911","5.452950275","5.349757923","5.284950377","5.141885996","4.999240513","4.917544058","4.879178254","4.759284492","4.570567689","4.425864426","4.366795885","4.339600773","4.293131103","4.196586997","4.104714581","3.983184997","3.879271285","3.7802018","3.730092689","3.705087882","3.67076084","3.614500061","3.498769685","3.391136554","3.32638585","3.290126996","3.275676539","3.251136118","3.183389454","3.095048143","3.016709048","2.960387703","2.922973131","2.898937711","2.879255562","2.831826194","2.778402056","2.723342005","2.672598916","2.632791338","2.599353299","2.570400366","2.539802851","2.512501726","100-63-0","[H+].[Cl-].NNC1=CC=CC=C1","InChI=1S/C6H8N2.ClH/c7-8-6-4-2-1-3-5-6;/h1-5,8H,7H2;1H
","c1ccc(cc1)NN.Cl"
"100-64-1","2.537578034","1.741452164","1.551787267","1.449461753","1.401560928","1.421082387","1.380755891","1.325238093","1.332141425","1.306087796","1.287562693","1.243882513","1.218406273","1.177864515","1.12244242","1.072351632","1.072469754","1.055195926","1.008292583","1.002068389","1.003012416","0.946576413","0.939301955","0.901828604","0.905910091","0.929949561","0.86215966","0.848361958","0.8586721","0.856241323","0.828201713","0.807854718","0.820761949","0.81951516","0.793567729","0.779943527","0.782533434","0.776890974","0.773387265","0.756083132","0.760460209","0.757035788","0.737640687","0.727128116","0.73141198","0.728153759","0.715207614","0.722544378","0.713479845","0.702561107","0.697400867","0.694206495","0.705102831","0.702472812","0.686039784","0.684402907","0.676799971","0.678154923","0.679736898","0.683297021","0.668034494","0.660519481","0.658560829","0.659639883","0.654897451","0.656647026","0.664421856","0.659751611","0.650693257","0.642775072","0.637843338","0.639794361","0.637169387","0.633908993","0.639457732","0.642538152","0.643519092","0.64171159","0.638192353","0.637579906","0.63161259","0.629265283","0.631645678","0.630989843","0.625823979","0.619265309","0.616114449","0.614615655","0.616797366","0.615955381","0.616624625","0.618369724","0.62285459","0.624027349","0.623264049","0.620720525","0.617847049","0.616429133","0.617484319","0.620254881","100-64-1","ON=C1CCCCC1","InChI=1S/C6H11NO/c8-7-6-4-2-1-3-5-6/h8H,1-5H2
","C1CCC(=NO)CC1"
"100-69-6","71.81532062","66.95322317","64.92651811","44.85557235","45.3004271","50.30573499","49.19576027","48.12910393","46.82889246","45.74656924","44.50838418","43.45866943","42.57739745","41.67307436","40.61597523","39.49178016","38.34465953","37.14959602","35.9179128","34.61233527","33.3408924","33.4444709","31.04196924","28.75253536","26.58078455","24.51566507","22.59089283","20.75112773","19.02065529","17.43336188","15.90839609","14.52389127","13.27373095","12.06538676","11.07132961","10.13371894","9.375937776","8.784885844","8.305811206","8.151568442","8.384339126","8.746367241","9.240123352","9.769535056","9.185672914","8.645293986","8.166132287","7.718536349","7.332598162","6.943776583","6.605893492","6.316741534","6.080101371","5.886206393","5.701225308","5.588711964","5.499406479","5.441077635","5.428957243","5.475316339","5.53542735","5.591494939","5.651051868","5.743774885","5.835822801","5.931397021","6.009619119","6.115192603","6.235040227","6.344858858","6.467101551","6.579350212","6.697726792","6.828402446","6.93986217","7.05925244","7.177868433","7.311136192","7.432844796","7.54263373","7.659198316","7.769672017","7.882737364","7.986451527","8.086462127","8.181692906","8.282948171","8.371398498","8.460666962","8.535854195","8.62372919","8.706504384","8.774842332","8.847128979","8.91749604","8.991094484","9.054272773","9.112094996","9.166394245","9.218594301","100-69-6","C=CC1=CC=CC=N1","InChI=1S/C7H7N/c1-2-7-5-3-4-6-8-7/h2-6H,1H2
","C=Cc1ccccn1"
"100-83-4","106.5501784","57.64608364","56.86713656","53.86045759","49.7352429","47.91308282","46.01843975","38.91031169","39.69360523","39.34415933","39.25089809","37.73998789","36.2947298","35.15515178","33.67437049","32.37082469","31.16215946","30.09032683","28.92138836","27.83103409","26.82950228","25.9386516","24.75406967","23.99256182","23.26629087","22.77901878","22.57390251","18.57287692","17.1128133","15.73818571","14.50361209","13.36050669","12.31047412","11.37924748","10.63576867","10.08134655","9.614126482","9.249957301","8.99046349","8.800625445","8.643344081","8.623769101","8.590432944","8.649382913","8.733068116","8.842445571","7.990118189","7.775495432","7.303685986","7.181899846","7.09817881","7.08731765","7.117680173","7.171156048","7.265889363","7.375904173","7.501373985","7.64438008","7.772360762","7.962776138","8.123937724","8.270391082","8.418479243","8.608146841","8.742185761","8.907197862","9.032794234","9.135755629","9.264417018","9.389456373","9.489644511","9.55171383","9.586239222","9.623103422","9.666131445","9.711117718","9.750273337","9.770559751","9.785333686","9.793346095","9.810977965","9.825316467","9.849174559","9.885589464","9.915465387","9.945251227","9.968486079","9.979195514","9.976267849","9.988168553","10.00298564","10.0125534","10.03675435","10.06139514","10.07800362","10.09614368","10.10864163","10.1062363","10.10340113","10.09778318","100-83-4","OC1=CC=CC(C=O)=C1","InChI=1S/C7H6O2/c8-5-6-2-1-3-7(9)4-6/h1-5,9H
","c1cc(cc(c1)O)C=O"
"1001-56-5","8.721933414","6.135187681","4.201486374","3.21187405","2.741638586","2.325586946","1.989816734","1.747798256","1.586353521","1.45662706","1.341063435","1.243005637","1.163333184","1.113724812","1.060380953","0.985357664","0.941337037","0.898932913","0.821336583","0.824364833","0.774366204","0.745038882","0.719093728","0.706922404","0.679912907","0.663512433","0.630651458","0.636725515","0.584260065","0.630027909","0.56741555","0.578772488","0.576340855","0.532449925","0.562091347","0.524105632","0.509631593","0.541201633","0.486225648","0.490039545","0.513504223","0.459481584","0.455083837","0.490617335","0.451037304","0.430770029","0.45894771","0.443374403","0.419645346","0.43097249","0.452484025","0.417100307","0.393613187","0.425978905","0.435154395","0.403868512","0.391000325","0.421750925","0.428301954","0.391132046","0.382928541","0.393197321","0.419627418","0.38215249","0.360104259","0.351057067","0.383097481","0.393982812","0.369877383","0.351629946","0.357994946","0.377345984","0.383403169","0.360248829","0.320742069","0.339076146","0.356108009","0.375273787","0.394994387","0.359729643","0.349743184","0.345228285","0.356725618","0.363364534","0.355698231","0.334621567","0.316477222","0.321259521","0.33787041","0.35772091","0.367878711","0.344566462","0.317790606","0.303861234","0.30221587","0.31307797","0.332539258","0.347376573","0.34885855","0.329377415","1001-56-5","C=C=CC#N","InChI=1/C4H3N/c1-2-3-4-5/h3H,1H2
","C=C=CC#N"
"10024-18-7","32.07296136","10.18733933","9.050216901","8.593762326","8.701294376","8.892901149","8.934891175","9.074912286","9.213974041","9.422459572","9.672818755","9.961097282","10.22895952","10.44548198","10.63389083","10.61894627","10.6159474","10.57589539","10.57591145","10.5484026","10.5354821","10.50929549","10.36743809","10.17258555","9.994299926","9.837222103","9.633027761","9.462783934","9.2896434","9.024363194","8.773295065","8.484328805","8.248601678","7.955326381","8.332255923","7.808063905","7.368147233","6.87526296","6.603885622","6.472741519","5.652970277","5.315314862","4.949043712","4.614893603","4.331384415","4.048589769","3.780503696","3.573918397","3.391379973","3.226530337","3.106931875","3.173583928","2.957263701","2.709723933","2.492627668","2.307978342","2.146931783","1.964655153","1.777880719","1.584421128","1.430470649","1.278990593","1.176335109","1.066479631","0.958340055","0.859561176","0.756087972","0.673347214","0.604059248","0.556253252","0.534983164","0.505717624","0.509170416","0.473839198","0.495118713","0.466328811","0.466952239","0.443511526","0.450265828","0.470362373","0.468432525","0.459480936","0.49690625","0.483486766","0.481505184","0.503571679","0.466236395","0.467026229","0.479968305","0.444459339","0.458345374","0.445474069","0.439885105","0.444376622","0.442005914","0.441949733","0.450856588","0.464262149","0.459938509","0.475274648","10024-18-7","BrC=C=C","InChI=1/C3H3Br/c1-2-3-4/h3H,1H2
","C=C=CBr"
"1003-29-8","17.39825426","11.71186723","8.869257016","7.568958837","6.308371096","5.821962898","5.070549513","4.811512084","4.244722129","4.114616926","3.712435627","3.534300798","3.227943787","3.093210032","2.798716291","2.744510059","2.571776651","2.433865998","2.320246712","2.217693184","2.192360577","2.050654955","2.027705339","1.965651755","1.951649956","1.871341054","1.919278988","1.814810387","1.909679883","1.815591028","1.806390704","1.808699896","1.710917931","1.722980562","1.661695665","1.675586964","1.623132286","1.648947744","1.629837947","1.653230052","1.64283156","1.581434142","1.638514921","1.573718259","1.601073874","1.525610232","1.583564423","1.543003017","1.517020705","1.571404679","1.589659545","1.542278131","1.555770516","1.617306469","1.578498143","1.556383218","1.611198914","1.590153414","1.547855186","1.634949915","1.648759422","1.640907901","1.657213866","1.650915692","1.65890653","1.699968275","1.708349071","1.721625807","1.709111387","1.73995141","1.766830313","1.775105303","1.793517466","1.824972364","1.825301302","1.837298179","1.861926886","1.869872773","1.887758334","1.909550014","1.922289463","1.946535514","1.969500943","1.990170009","1.986215612","2.00906067","2.04139609","2.054775094","2.069637946","2.081537387","2.106860554","2.126711062","2.138765098","2.138652116","2.177203327","2.206759503","2.216096345","2.228615065","2.237952181","2.257947431","1003-29-8","O=CC1=CC=CN1","InChI=1S/C5H5NO/c7-4-5-2-1-3-6-5/h1-4,6H
","c1cc(C=O)[nH]c1"
