Unnamed: 0.1,Unnamed: 0,smiles,ex1,ex2,ex3,ex4,ex5,ex6,ex7,ex8,ex9,ex10,ex11,ex12,ex13,ex14,ex15,ex16,ex17,ex18,ex19,ex20,ex21,ex22,ex23,ex24,ex25,ex26,ex27,ex28,ex29,ex30,ex31,ex32,ex33,ex34,ex35,ex36,ex37,ex38,ex39,ex40,ex41,ex42,ex43,ex44,ex45,ex46,ex47,ex48,ex49,ex50,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8,prob9,prob10,prob11,prob12,prob13,prob14,prob15,prob16,prob17,prob18,prob19,prob20,prob21,prob22,prob23,prob24,prob25,prob26,prob27,prob28,prob29,prob30,prob31,prob32,prob33,prob34,prob35,prob36,prob37,prob38,prob39,prob40,prob41,prob42,prob43,prob44,prob45,prob46,prob47,prob48,prob49,prob50,pc1,pc2,pc3,pc4,pc5,cluster
5543909,5543909,CCc1ccc(CS(=O)(=O)N2CCOCC2)cc1NC(=O)c1cccc2cccnc12,1.967,2.273,2.381,2.679,3.033,3.217,3.242,3.375,3.547,3.549,3.595,3.751,3.847,3.888,3.944,3.954,3.99,4.086,4.139,4.173,4.26,4.302,4.305,4.353,4.4,4.432,4.441,4.494,4.497,4.528,4.556,4.579,4.597,4.621,4.65,4.734,4.792,4.814,4.849,4.935,4.947,4.977,5.026,5.11,5.152,5.172,5.174,5.193,5.231,5.254,0.00063783,2.15e-06,0.02046188,0.0002926,0.00064418,2.251e-05,1.369e-05,3.88e-05,0.00085114,9.444e-05,0.00168715,0.17017097,0.00068606,0.01782009,0.01287496,0.00012582,5.193e-05,0.03415304,0.0610008,0.01171765,0.00658216,0.00201279,0.00116771,0.01044724,0.0030168,0.00062152,0.01599653,4.57e-06,4.49e-05,0.00048858,6.129e-05,0.00101364,0.00023815,4.145e-05,8.647e-05,0.03550592,0.00086644,2.638e-05,0.00011364,0.03367394,0.03810648,0.00299738,0.02297402,0.00756254,0.11336705,0.06158123,0.02138596,0.00133033,0.08553684,0.00025493,298391.9999999011,-8.104729334017593,0.8041356518961789,-0.4925779876393873,-0.3546285320614232,4
5369425,5369425,COC(=O)c1cccc(CNC(=O)COCC(=O)NCc2cccnc2)c1O,2.873,3.046,3.383,3.543,3.57,3.623,3.682,3.765,3.815,3.885,4.042,4.061,4.085,4.152,4.188,4.206,4.221,4.288,4.299,4.389,4.406,4.448,4.474,4.526,4.644,4.709,4.72,4.857,4.938,4.947,4.985,5.049,5.059,5.065,5.071,5.176,5.267,5.277,5.286,5.33,5.353,5.36,5.362,5.366,5.46,5.504,5.541,5.545,5.647,5.673,0.0055695,0.00176743,0.00072642,6.97e-06,0.00253006,0.00212898,6.5e-07,0.00039241,0.00851972,2.77e-05,0.00162415,5.87e-06,0.1089383,3.627e-05,6.682e-05,9.755e-05,0.00315283,1.376e-05,8.15e-06,0.00017986,3.509e-05,0.00310575,1.51e-05,3.2e-07,0.00011904,1.182e-05,0.00162778,4.32e-06,0.00108067,0.00027525,0.0656965,1.124e-05,0.00012931,0.00593231,0.00459857,0.00010635,2.45e-06,0.00050843,8.967e-05,0.02880414,0.00064919,0.00023574,7.161e-05,0.00162132,0.0008602,5.95e-06,0.00010148,0.00105391,0.00110621,7.009e-05,123907.999999961,-5.508100472987126,-0.2194829457262916,0.4072803702749719,-0.2494924625387377,4
4621832,4621832,CCN(CCCNC(=O)Cc1n[nH]cc1C)C(=O)c1occc1C(C)C,3.801,3.815,4.472,4.53,4.669,4.671,4.726,4.895,5.081,5.087,5.101,5.243,5.301,5.441,5.443,5.477,5.584,5.617,5.667,5.814,5.857,5.924,5.959,5.997,6.011,6.1,6.157,6.304,6.321,6.344,6.377,6.386,6.419,6.455,6.482,6.518,6.529,6.601,6.603,6.633,6.652,6.724,6.749,6.781,6.844,6.851,6.902,6.917,6.944,6.947,0.00102921,9.464e-05,0.05929435,1.248e-05,0.01087972,0.01878579,0.00215553,0.00040015,0.20778821,0.0326647,0.00396065,0.00010928,0.00560784,0.00233133,0.00142972,1.759e-05,0.02760566,0.00207072,1.09e-06,0.00014269,0.00129391,0.02187545,6.705e-05,0.03462517,2.44e-06,0.06159201,0.00141385,0.00080979,0.0010711,0.02126278,0.01442413,0.0026909,0.00222105,0.00379254,0.01755418,0.01772237,0.00039838,0.00060588,0.08899419,0.00815772,0.02065669,0.00013001,2.768e-05,0.02095268,0.03584477,0.02186065,2.992e-05,0.00604403,6.01e-06,0.00198676,-623684.999999783,3.649204017504956,-0.6400266213314775,-0.0337798587242566,0.0513918843529075,4
894046,894046,C#CCCNC(=O)CCCOc1ccc(C(C)(C)CC)cc1C(C)(C)CC,4.381,4.604,4.839,5.077,5.125,5.202,5.376,5.565,5.583,5.829,5.861,5.865,5.977,6.016,6.066,6.094,6.096,6.109,6.146,6.19,6.237,6.313,6.319,6.362,6.378,6.509,6.517,6.543,6.564,6.598,6.645,6.668,6.674,6.754,6.777,6.788,6.799,6.806,6.829,6.863,6.88,6.919,6.969,6.976,7.001,7.005,7.035,7.071,7.095,7.143,0.00775769,0.04184835,0.01806189,0.03587485,1.881e-05,0.0656533,0.00090715,0.00022728,0.00011704,0.00011533,0.01838059,0.00015003,0.17936989,0.02471925,0.07378832,0.00244633,0.06762803,0.00017907,0.00058309,0.09234883,6.933e-05,0.00542258,0.00443796,0.04124024,0.19308911,0.00304603,0.04330832,0.01281328,0.00747822,0.00306999,0.01032218,0.00062246,0.00022445,0.00072113,0.06147253,0.00916707,0.00088106,0.0163741,2.996e-05,0.00498136,0.15833366,0.00436482,0.01018597,0.02405946,0.00937173,0.00484794,0.0430185,0.001152,0.00656178,0.00048982,-4351470.999998483,6.200351799950356,-2.057599091007124,-0.6252486650295586,-0.0474077087653499,2
9400048,9400048,C=CCC(=O)CC=C(OCC)c1ccc(CNS(=O)(=O)c2ccccc2)nn1,2.822,3.069,3.253,3.278,3.439,3.466,3.491,3.528,3.549,3.617,3.89,3.946,3.985,4.018,4.046,4.049,4.06,4.107,4.269,4.505,4.524,4.54,4.552,4.604,4.628,4.694,4.709,4.752,4.795,4.909,4.969,4.977,4.995,5.003,5.009,5.074,5.086,5.103,5.11,5.121,5.127,5.145,5.176,5.199,5.256,5.264,5.284,5.29,5.304,5.331,0.00266639,0.00037661,0.00570452,2.189e-05,0.04473327,0.05998353,0.00735067,0.00018945,0.0140017,0.0096843,0.00087837,3.4e-06,0.00169649,0.00264692,0.00356788,0.00049635,0.00524488,0.03590064,0.00076131,4.569e-05,0.00307109,0.01663821,0.01066967,0.03791247,0.00198812,0.10474255,0.00482404,0.00751323,0.00163399,0.00055955,0.00021212,0.00569994,9.815e-05,0.00063699,0.0004693,0.00728615,4.318e-05,0.00386828,0.02715096,0.0293122,0.00455133,0.05334909,0.00904994,0.01579012,0.00368169,0.00255179,0.02382836,0.00117288,0.01041427,0.00152861,4154530.999998553,-6.397839480649639,-0.1696111394734275,0.1627184818396502,0.3362110332440379,1
6784277,6784277,CC(C)(C)NC(=O)CONC(=N)NOCc1ccnn1-c1ccccc1,3.387,3.79,3.934,4.146,4.31,4.355,4.546,4.56,4.59,4.655,4.743,4.854,4.87,4.893,5.009,5.08,5.173,5.174,5.271,5.277,5.277,5.348,5.417,5.568,5.579,5.642,5.707,5.8,5.81,5.863,5.87,5.919,5.921,5.965,6.016,6.038,6.052,6.098,6.121,6.168,6.222,6.236,6.287,6.311,6.321,6.363,6.367,6.446,6.467,6.523,1.057e-05,4e-07,0.01002481,0.00039384,0.00018926,0.00145779,0.00076609,0.00604308,0.33263818,0.01876654,0.00181108,0.00059632,0.00114267,0.00246679,0.00212589,0.00153176,0.00158928,0.00022501,0.00123982,0.00058695,0.00017361,0.02901725,0.00805561,0.00056098,0.00168031,0.00220361,0.00012099,0.00403729,0.01755935,6.057e-05,0.00073547,8.19e-06,1.682e-05,0.00013474,0.03110504,0.00932745,0.14129853,0.01709191,0.00010468,0.01568259,0.00059167,0.03439173,0.01023823,0.0490941,0.00281734,0.00078456,5.789e-05,0.00173613,0.03898594,7.581e-05,1538759.999999463,0.4654864416732959,-0.5581606487887584,0.0848048561836875,-0.085194314503743,3
5543048,5543048,CCOC(=O)N(C)c1ccccc1C(=O)OCC(=O)c1ccc2c(c1)CCCC2,3.079,3.178,3.188,3.535,3.595,3.637,3.739,3.994,4.032,4.098,4.127,4.164,4.264,4.272,4.273,4.333,4.343,4.408,4.502,4.508,4.546,4.593,4.618,4.661,4.716,4.813,4.816,4.976,5.002,5.027,5.119,5.127,5.147,5.231,5.258,5.352,5.354,5.417,5.445,5.45,5.452,5.453,5.46,5.472,5.495,5.564,5.585,5.603,5.612,5.625,0.00018499,8.357e-05,0.00035327,0.00385282,0.00445976,0.00610867,0.02506066,0.00185544,7.253e-05,0.00407288,0.00016888,3.04e-06,0.00154985,0.03371468,0.00643022,0.00682322,0.07472236,0.00710955,0.03195381,0.00654684,0.05098224,0.08884482,0.00170858,0.01597619,0.00071845,0.00073319,3.221e-05,0.0006408,0.00026024,0.00149503,3.195e-05,0.01346422,0.00012979,0.00947513,0.00050236,0.00011354,0.00687705,0.01034171,0.00405469,0.00323484,0.00123564,0.00312186,0.00600722,0.08925375,0.0010022,0.07415949,0.00439206,0.00693776,0.00928942,0.04023246,297530.9999999004,-4.795205770926014,-0.3088796191317589,0.2123987509984153,-0.1609646484931779,4
1867362,1867362,CC(C)(NC(=O)N1CCC(O)(C(F)(F)F)CC1)c1ccc(F)cc1F,3.516,3.928,3.938,4.348,4.377,4.787,4.969,5.426,5.489,5.837,6.045,6.059,6.188,6.245,6.268,6.352,6.47,6.505,6.597,6.644,6.685,6.766,6.808,6.854,6.935,6.976,7.022,7.108,7.126,7.176,7.238,7.252,7.264,7.27,7.381,7.396,7.412,7.432,7.485,7.604,7.659,7.671,7.701,7.725,7.796,7.806,7.818,7.852,7.9,7.949,0.0001164,0.00096777,0.00017974,5.83e-06,0.00041234,0.00029565,0.04442892,5e-06,0.02864856,1.105e-05,0.00031106,0.00072961,0.00061808,0.29348868,0.03548109,0.05160269,0.00118088,0.03894897,0.01745729,0.33544561,0.00839663,1.364e-05,0.05551101,0.00519908,0.00226505,0.00153349,0.02935954,0.00420582,0.09912078,0.00093774,0.25130995,0.01240689,0.00490909,0.00336767,0.00098538,0.00010902,0.01453318,0.00077856,0.00374071,0.00509476,0.00041569,0.00014298,0.00283895,4.875e-05,0.05367623,0.01374227,0.0733634,0.00017349,0.00538532,0.00219644,-3378154.9999988247,9.042745504723603,0.837164747735814,-1.055608055857635,0.0554345831201297,2
4471638,4471638,Cn1cc(CCC(=S)N2CCC(NCCCN3CCCC3=O)C2)nn1,3.119,3.636,3.967,4.11,4.336,4.484,4.487,4.586,4.602,4.835,4.853,4.924,5.046,5.074,5.077,5.418,5.453,5.476,5.562,5.771,5.883,5.988,5.999,6.031,6.14,6.28,6.329,6.345,6.365,6.411,6.465,6.528,6.596,6.602,6.669,6.751,6.803,6.849,6.85,6.864,6.903,6.92,6.948,7.0,7.094,7.141,7.184,7.223,7.278,7.308,0.00015571,1.544e-05,1.03e-06,0.00043997,5.472e-05,1.945e-05,0.16283915,0.06758291,1.1e-07,0.02160029,1.72e-06,0.00125354,0.00102805,0.00045167,8e-07,0.00932194,8.794e-05,0.00246937,1.215e-05,2e-08,0.00397414,0.05707566,0.01057213,0.00023945,2.03e-06,4.954e-05,0.00697286,0.05817924,0.00702332,0.04294858,0.00610557,3e-08,0.00459539,0.01072866,0.00076058,0.02163776,0.01752301,0.00093446,0.20944997,0.00153916,1.113e-05,0.00338859,0.00029289,0.01565722,4.772e-05,0.00117035,7.71e-05,0.01503363,3.918e-05,0.00027719,-773878.9999997308,3.8655802849393535,1.0157762098428929,0.3987731805101269,0.1037304630642386,4
4276035,4276035,C=C(C)CN(CC)C(=O)c1ccn(CC(F)(F)F)c1,4.02,4.343,4.431,4.853,4.939,4.959,5.322,5.58,5.702,5.968,6.096,6.493,6.591,6.602,6.631,6.788,6.892,6.994,7.007,7.078,7.136,7.214,7.347,7.376,7.406,7.423,7.446,7.588,7.606,7.647,7.673,7.685,7.846,7.898,7.926,7.937,7.974,7.999,8.165,8.173,8.175,8.204,8.274,8.285,8.344,8.407,8.44,8.458,8.497,8.504,0.00293503,0.00088166,0.00095247,0.00235093,0.01182413,0.00119059,0.0005032,0.08985824,0.00556834,0.10530952,0.00624955,0.07718284,0.00768241,0.00174722,0.04991056,0.13711068,0.01908572,0.18473434,0.09158349,0.02449286,0.04308202,0.01480541,0.01084123,0.01318795,0.02208384,0.03996486,0.03282391,0.02014316,0.01093947,0.00115723,0.00504049,0.01916123,0.01444585,0.00247323,0.00225451,0.03198305,0.01926603,0.121758,0.00603217,0.02882022,0.05508255,0.09820628,0.00367519,0.01989847,0.02438487,0.02370777,0.01057333,0.00339984,0.00044814,0.00873409,-969481.999999669,12.377006462830806,0.8636335759525009,-0.6198195012998149,0.3554859051208311,4
