,Unnamed: 0,smiles,ex1,ex2,ex3,ex4,ex5,ex6,ex7,ex8,ex9,ex10,ex11,ex12,ex13,ex14,ex15,ex16,ex17,ex18,ex19,ex20,ex21,ex22,ex23,ex24,ex25,ex26,ex27,ex28,ex29,ex30,ex31,ex32,ex33,ex34,ex35,ex36,ex37,ex38,ex39,ex40,ex41,ex42,ex43,ex44,ex45,ex46,ex47,ex48,ex49,ex50,prob1,prob2,prob3,prob4,prob5,prob6,prob7,prob8,prob9,prob10,prob11,prob12,prob13,prob14,prob15,prob16,prob17,prob18,prob19,prob20,prob21,prob22,prob23,prob24,prob25,prob26,prob27,prob28,prob29,prob30,prob31,prob32,prob33,prob34,prob35,prob36,prob37,prob38,prob39,prob40,prob41,prob42,prob43,prob44,prob45,prob46,prob47,prob48,prob49,prob50,pc1,pc2,pc3,pc4,pc5,cluster
3322080,3322080,COCCOc1ccc(NCC(C)(C)c2ccc(SC)c(F)c2)cc1C,3.047,3.374,3.963,4.218,4.294,4.49,4.575,4.592,4.623,4.803,4.82,4.941,4.96,5.142,5.186,5.337,5.347,5.386,5.417,5.53,5.618,5.621,5.671,5.715,5.723,5.823,5.91,5.988,5.998,6.022,6.046,6.109,6.138,6.192,6.239,6.242,6.305,6.321,6.334,6.387,6.433,6.473,6.486,6.523,6.582,6.609,6.616,6.642,6.672,6.683,0.01143733,0.00166581,0.03454194,0.02703553,0.03144983,0.01347346,0.00058403,0.00108713,0.00235978,0.00256405,0.0126887,0.15555671,0.01602643,0.01459877,0.03250777,0.00451892,0.00083967,0.00061214,0.02191262,0.00154528,0.00453408,0.0002582,0.00022058,0.002459,0.00149402,0.00138622,0.03788781,0.01176262,0.00242378,0.00489823,0.07823418,0.00777625,0.00042405,0.00876777,0.01709633,0.01069219,0.00913274,0.03705902,0.16042521,0.22818273,0.00548333,0.00050002,0.04314646,0.32814071,0.00348027,0.00573856,0.00239707,0.01842854,0.01447791,0.07769564,-1923436.9999993294,1.6594338208030568,0.00404079668147794,-0.2689862615499998,-0.18309303286421905,0
1461786,1461786,CCOC(=O)c1sc(C2CCN(C(=O)c3cn(C)nc3CC)CC2)nc1CC,2.686,3.099,3.398,3.527,3.878,4.227,4.25,4.28,4.479,4.49,4.664,4.852,4.933,4.965,5.032,5.06,5.078,5.176,5.182,5.365,5.378,5.408,5.454,5.47,5.509,5.546,5.601,5.604,5.62,5.633,5.646,5.787,5.796,5.828,5.856,5.857,5.869,5.911,5.925,6.01,6.016,6.049,6.063,6.205,6.206,6.209,6.313,6.342,6.349,6.439,0.00083138,0.00227792,4.745e-05,0.00063294,0.0008958,0.00145195,0.19272352,0.00186104,0.00020365,0.00870902,0.00014328,0.01308707,0.006195,0.00023491,0.09036982,0.00053749,0.00704497,0.00035234,4.044e-05,0.00030326,0.00031288,7.856e-05,0.04696191,0.06504514,0.01328688,0.0039871,0.00039529,0.00536946,0.01311654,0.03065223,0.00826988,0.00789758,0.00456509,0.00558593,0.00015449,0.00089624,0.00028543,0.00067529,0.03232289,0.00484535,0.03933495,0.001522,0.01204723,4.997e-05,0.00103204,0.00287154,0.00744993,0.09536527,0.09599902,8.438e-05,-3783730.999998681,-0.5392813999603316,0.28232230752649295,-0.8003906909915127,-0.22785216572569872,2
9154810,9154810,CSc1cc(Oc2ccccc2)ccc1COC(=O)c1ncccc1F,2.95,3.184,3.21,3.633,3.844,4.045,4.075,4.077,4.08,4.103,4.148,4.178,4.252,4.335,4.345,4.46,4.488,4.522,4.552,4.558,4.59,4.613,4.64,4.774,4.788,4.867,4.936,4.951,4.969,4.992,4.998,5.012,5.034,5.068,5.072,5.111,5.118,5.136,5.253,5.305,5.313,5.326,5.34,5.366,5.38,5.394,5.402,5.489,5.508,5.51,1.295e-05,0.00036004,0.00029972,0.00132283,1.16e-06,0.00023899,2.199e-05,2.764e-05,0.01658281,3.979e-05,0.0037742,0.00047674,0.01476497,0.01111773,0.01303421,0.09110103,0.00265227,0.00111156,0.03739272,0.00456142,0.11378827,0.07444498,0.04185904,5.293e-05,0.01757149,0.03019453,0.00031824,0.00554153,4.1e-07,0.00815594,0.02160052,0.00259973,0.00052264,0.0041363,0.01192991,4.451e-05,0.00014692,0.00485233,0.00102433,0.00236913,0.02409802,0.00346427,0.02194401,0.02013258,0.00028389,0.00030249,0.0006521,0.00316811,0.0025418,0.00122097,3909292.9999986375,-5.017044648121308,-0.8816326771330295,-0.2487328324505534,-0.2832583818455934,1
8864104,8864104,CC(=O)OCC(C)(C)C(=O)NCCN(C)CNC(=O)CCc1ccccc1C,4.089,4.113,4.405,4.547,4.561,4.571,4.827,4.847,4.852,4.865,4.872,5.022,5.129,5.145,5.167,5.289,5.304,5.314,5.322,5.323,5.393,5.468,5.477,5.504,5.528,5.552,5.609,5.706,5.762,5.822,5.933,6.121,6.144,6.146,6.161,6.185,6.244,6.265,6.296,6.411,6.437,6.455,6.559,6.561,6.59,6.594,6.633,6.713,6.763,6.787,0.00092013,0.00022732,1.592e-05,0.00019466,0.00049882,4.717e-05,5.41e-05,7.01e-06,8.234e-05,0.00056117,3.688e-05,0.00072649,0.00232156,0.00032591,0.0005976,9e-08,0.00064041,1e-08,2.02e-06,0.00082051,0.00011205,0.02435726,1.205e-05,4.428e-05,3.793e-05,5e-07,0.00011354,9.4e-07,0.00025646,9.67e-05,0.00378572,0.00234928,0.00028948,0.00010506,1.507e-05,1.014e-05,0.00258978,0.00404175,0.05212826,0.24031486,5.237e-05,0.43353155,2.48e-06,0.05875314,0.0008767,1.507e-05,0.00976234,0.00032155,0.00396055,0.00963309,3618586.9999987376,1.6739487010450909,-1.2097733368174548,0.6699220618260535,-0.3672074618666722,1
3595457,3595457,CC(=O)Nc1ccc(CC(=O)Nc2cc(C(=O)NCC3CC3)ccc2C)cn1,3.208,3.249,3.382,3.644,3.812,3.823,3.848,3.902,3.929,3.939,3.992,4.011,4.117,4.121,4.147,4.225,4.278,4.297,4.312,4.384,4.613,4.68,4.703,4.747,4.774,4.826,4.861,4.869,4.907,4.965,4.996,5.032,5.099,5.169,5.181,5.377,5.383,5.429,5.438,5.46,5.514,5.525,5.54,5.557,5.567,5.648,5.652,5.663,5.69,5.7,4.387e-05,0.00036985,0.00065188,0.0004182,0.0004667,0.0020578,1.483e-05,3.117e-05,0.00247319,0.00509414,0.01886012,0.00066261,0.06075429,0.03141917,0.01177955,0.00274007,0.02173983,0.01505575,0.00786192,0.01824862,0.02266152,0.00089072,0.06846709,0.00318517,0.00079466,0.08813641,0.00030615,0.02037815,0.00952394,8.399e-05,7.141e-05,0.00268822,0.38353044,0.00016247,0.00529643,0.12827558,0.1229731,0.00177959,0.07365654,0.06349047,0.05657991,0.00294579,0.0034531,0.00670369,0.00427783,0.02255944,0.01663208,0.00544067,0.00043151,0.00038144,-1650059.999999423,-4.813791867088756,-0.39089664373562766,0.6971124705219764,-0.16966219232912458,0
438828,438828,CC(C)Cc1nnc(NC(=O)CN2CCc3ccc(F)c(F)c3C2)o1,3.689,3.906,3.986,4.215,4.244,4.801,4.81,4.878,4.93,5.064,5.114,5.155,5.301,5.341,5.343,5.352,5.369,5.597,5.647,5.778,5.87,5.892,5.946,6.001,6.045,6.071,6.081,6.132,6.171,6.186,6.197,6.258,6.266,6.329,6.355,6.395,6.416,6.44,6.465,6.486,6.504,6.575,6.621,6.627,6.666,6.687,6.71,6.711,6.757,6.827,0.00840051,2.78e-05,0.00405014,1.932e-05,0.01682468,0.00732075,0.00688136,0.01210216,0.27357438,0.00011406,0.00024661,0.00584171,0.00472792,0.00072457,0.00011341,0.00123865,0.00123747,0.00428205,0.00021352,0.0068535,0.00245741,0.00090015,0.00375655,0.21158843,0.08181274,0.12519001,0.07164932,0.00019736,0.07885237,0.000749,0.15439958,0.00667894,0.00049203,0.06201252,0.02582513,0.00224475,0.00060146,3.323e-05,0.00048484,0.00011469,0.00413635,0.0009678,0.02092077,0.02325418,0.04185455,0.00583929,0.00249015,0.00187719,0.00665398,0.00811857,-4806688.999998325,2.865523243196604,-0.5770561172070428,-0.3474524945046623,0.10320461820640742,2
9187355,9187355,O=C(Cc1cc(F)cc2c1OCOC2)OCCC(=O)N1CCN(S(=O)(=O)c2ccccc2)CC1,2.761,2.878,3.072,3.228,3.256,3.325,3.345,3.53,3.591,3.723,3.762,3.802,3.888,4.016,4.105,4.12,4.201,4.269,4.316,4.49,4.535,4.572,4.646,4.668,4.732,4.787,4.838,4.885,4.942,4.949,4.955,4.992,5.019,5.035,5.099,5.151,5.158,5.175,5.199,5.212,5.212,5.263,5.295,5.306,5.309,5.333,5.375,5.427,5.433,5.457,1.5e-06,1.4e-07,0.00471039,9.7e-07,1.747e-05,0.00569683,0.0,1.371e-05,0.00107862,4.8e-07,5.49e-05,1e-08,7.41e-06,0.07802194,4.6e-07,7.419e-05,3.6e-07,0.0,0.02353183,0.00065122,0.01628343,3.2e-07,0.00142685,1e-08,6e-08,6.48e-06,0.00010608,0.02275359,0.00187494,0.00016185,2.83e-06,5.86e-06,1.181e-05,0.02152192,0.00287401,0.00255712,0.00034812,0.0156237,0.0,0.00111689,0.0128284,0.00025052,0.0023485,0.0015689,0.0005312,1.942e-05,0.0001213,4.772e-05,0.06446404,4.103e-05,3941837.9999986268,-6.085441765647646,0.3014444530857769,0.10070982408498877,0.42656571741507415,1
2271096,2271096,CCOc1nc2cc(CNS(=O)(=O)c3ccc(C(F)(F)F)cc3)cnc2[nH]1,2.428,2.91,2.928,3.178,3.401,3.41,3.673,3.899,4.172,4.254,4.369,4.42,4.544,4.672,4.719,4.731,4.804,4.82,4.871,4.896,5.045,5.074,5.097,5.238,5.24,5.258,5.267,5.321,5.37,5.387,5.466,5.587,5.594,5.596,5.63,5.662,5.682,5.721,5.738,5.757,5.79,5.858,5.883,5.912,5.914,6.082,6.147,6.16,6.169,6.194,0.00251654,0.0017998,6.3e-06,0.00662822,0.00042695,2.197e-05,2.987e-05,0.00044706,0.00221878,0.02437354,0.00211443,0.24235285,0.00022325,0.00012785,0.00013479,0.00762485,0.00234328,0.00080297,0.00741439,0.0005934,3.135e-05,0.00332942,0.00213702,0.00550807,0.00486914,0.01300553,0.01621679,0.00029633,0.00499742,0.0080818,0.05934567,0.04955342,0.00125581,0.00418451,0.00220114,0.00088348,0.02603422,0.15829114,0.00252951,0.00015927,5.838e-05,0.04462919,0.00383909,0.21811268,0.03624866,0.00076789,0.00039933,0.0009713,0.00990174,0.01290102,-2974420.9999989606,-2.5109623456390957,1.0472810346953345,-0.5431227136086271,-0.044261626003941165,0
5187167,5187167,CSCC(C)NC(=O)c1nnc(N2CCCN(C3CCCC3)CC2)n1CC(=O)Nc1ccccc1,3.491,3.632,3.717,3.825,3.859,3.89,3.966,3.996,4.058,4.063,4.205,4.34,4.344,4.463,4.481,4.495,4.581,4.604,4.625,4.637,4.762,4.841,4.892,4.932,4.988,5.078,5.119,5.216,5.228,5.454,5.458,5.465,5.51,5.595,5.625,5.642,5.7,5.713,5.742,5.767,5.783,5.827,5.842,5.848,5.854,5.858,5.864,5.869,5.897,5.94,0.00066106,1.551e-05,5.934e-05,0.00034666,4.62e-06,0.03957065,1.102e-05,0.05061024,0.00064936,0.00010584,2.45e-06,0.00019586,0.01022399,0.00055028,4.03e-06,0.00034747,0.00047015,6.971e-05,0.04967378,0.00021137,0.01479692,0.06459396,0.00748945,0.03871033,0.26887354,0.00038178,0.00016342,0.0778544,0.00575519,0.0001257,2.355e-05,0.00060943,0.15410976,2.037e-05,0.00042078,3.91e-06,0.00673225,0.05545071,0.00067636,0.00123233,0.00015265,0.00890535,0.00468634,0.00013896,0.00146208,0.04081712,0.00425996,0.00674272,0.0011475,0.05291584,-58349.99999997846,-2.9077530876151996,-0.4363438697526604,0.7643411366401199,0.1756854264313005,4
1193574,1193574,CC=C(C)C(=O)N1CCN(c2cccnc2N(CCO)C(=O)C2(C(N)=O)CC2)CC1,3.343,3.606,3.636,3.768,3.794,3.997,4.06,4.094,4.143,4.176,4.214,4.293,4.463,4.516,4.532,4.584,4.593,4.632,4.671,4.719,4.754,4.885,4.916,4.93,4.949,4.965,4.988,5.034,5.043,5.051,5.215,5.307,5.333,5.353,5.365,5.417,5.464,5.468,5.539,5.573,5.596,5.624,5.675,5.765,5.77,5.842,5.851,5.886,5.889,5.931,2.317e-05,0.02297814,0.00010811,0.00036797,0.00052307,0.04713785,6.228e-05,0.01076837,0.00434383,0.04636711,0.00075544,0.00174146,0.07439073,3.825e-05,0.00010678,0.00135112,0.00149365,0.00841015,0.00330475,0.02143978,9.933e-05,0.0005616,8.8e-07,0.01898657,0.0018301,0.00053336,0.02772371,0.02705687,0.00735496,4.9e-07,0.02460363,0.00417744,0.03135307,0.01105581,0.00367105,0.00031765,9.716e-05,0.00323631,0.0042519,0.00040222,0.00037509,0.00278917,0.00805316,0.00034991,9.75e-06,0.00731809,0.0002858,0.00704435,5.87e-05,0.00992471,-4051942.999998586,-3.433159795599729,-0.7375465438869439,0.3612662165477241,-0.13079090067161375,2
